mol_index,bit_id,description
174,0,Bit 0: no substructure found
175,0,Bit 0: no substructure found
176,0,Bit 0: no substructure found
177,0,Bit 0: no substructure found
178,0,Bit 0: no substructure found
179,0,Bit 0: no substructure found
180,0,Bit 0: no substructure found
181,0,Bit 0: no substructure found
182,0,Bit 0: no substructure found
183,0,Bit 0: no substructure found
184,0,Bit 0: no substructure found
185,0,Bit 0: no substructure found
186,0,Bit 0: no substructure found
187,0,Bit 0: no substructure found
188,0,Bit 0: no substructure found
189,0,Bit 0: no substructure found
190,0,Bit 0: no substructure found
191,0,Bit 0: no substructure found
192,0,Bit 0: no substructure found
193,0,Bit 0: no substructure found
194,0,Bit 0: no substructure found
195,0,Bit 0: no substructure found
196,0,Bit 0: no substructure found
197,0,Bit 0: no substructure found
0,1,Bit 1: no substructure found
1,1,Bit 1: no substructure found
2,1,Bit 1: no substructure found
3,1,Bit 1: no substructure found
4,1,Bit 1: substructure detected but no common functional groups matched
5,1,Bit 1: no substructure found
6,1,Bit 1: no substructure found
7,1,Bit 1: no substructure found
8,1,Bit 1: no substructure found
9,1,Bit 1: no substructure found
10,1,Bit 1: no substructure found
11,1,Bit 1: no substructure found
12,1,Bit 1: substructure detected but no common functional groups matched
13,1,Bit 1: no substructure found
14,1,Bit 1: substructure detected but no common functional groups matched
15,1,Bit 1: no substructure found
16,1,Bit 1: no substructure found
17,1,Bit 1: substructure detected but no common functional groups matched
18,1,Bit 1: substructure detected but no common functional groups matched
19,1,Bit 1: substructure detected but no common functional groups matched
20,1,Bit 1: substructure detected but no common functional groups matched
21,1,Bit 1: no substructure found
22,1,Bit 1: no substructure found
23,1,Bit 1: no substructure found
24,1,Bit 1: no substructure found
25,1,Bit 1: substructure detected but no common functional groups matched
26,1,Bit 1: no substructure found
27,1,Bit 1: substructure detected but no common functional groups matched
28,1,Bit 1: substructure detected but no common functional groups matched
29,1,Bit 1: substructure detected but no common functional groups matched
30,1,Bit 1: substructure detected but no common functional groups matched
31,1,Bit 1: no substructure found
32,1,Bit 1: no substructure found
33,1,Bit 1: no substructure found
34,1,Bit 1: no substructure found
35,1,Bit 1: no substructure found
36,1,Bit 1: substructure detected but no common functional groups matched
37,1,Bit 1: substructure detected but no common functional groups matched
38,1,Bit 1: no substructure found
39,1,Bit 1: no substructure found
40,1,Bit 1: substructure detected but no common functional groups matched
41,1,Bit 1: no substructure found
42,1,Bit 1: no substructure found
43,1,Bit 1: no substructure found
44,1,Bit 1: substructure detected but no common functional groups matched
45,1,Bit 1: substructure detected but no common functional groups matched
46,1,Bit 1: no substructure found
47,1,Bit 1: no substructure found
48,1,Bit 1: no substructure found
49,1,Bit 1: substructure detected but no common functional groups matched
50,1,Bit 1: no substructure found
51,1,Bit 1: substructure detected but no common functional groups matched
52,1,Bit 1: no substructure found
53,1,Bit 1: no substructure found
54,1,Bit 1: no substructure found
55,1,Bit 1: no substructure found
56,1,Bit 1: no substructure found
57,1,Bit 1: no substructure found
58,1,Bit 1: no substructure found
59,1,Bit 1: no substructure found
60,1,Bit 1: no substructure found
61,1,Bit 1: substructure detected but no common functional groups matched
62,1,Bit 1: substructure detected but no common functional groups matched
63,1,Bit 1: no substructure found
64,1,Bit 1: no substructure found
65,1,Bit 1: no substructure found
66,1,Bit 1: substructure detected but no common functional groups matched
67,1,Bit 1: no substructure found
68,1,Bit 1: no substructure found
69,1,Bit 1: no substructure found
70,1,Bit 1: no substructure found
71,1,Bit 1: no substructure found
72,1,Bit 1: no substructure found
73,1,Bit 1: no substructure found
74,1,Bit 1: no substructure found
75,1,Bit 1: no substructure found
76,1,Bit 1: substructure detected but no common functional groups matched
77,1,Bit 1: no substructure found
78,1,Bit 1: no substructure found
79,1,Bit 1: substructure detected but no common functional groups matched
80,1,Bit 1: no substructure found
81,1,Bit 1: substructure detected but no common functional groups matched
82,1,Bit 1: substructure detected but no common functional groups matched
83,1,Bit 1: substructure detected but no common functional groups matched
84,1,Bit 1: no substructure found
85,1,Bit 1: no substructure found
86,1,Bit 1: no substructure found
87,1,Bit 1: substructure detected but no common functional groups matched
88,1,Bit 1: no substructure found
89,1,Bit 1: no substructure found
90,1,Bit 1: substructure detected but no common functional groups matched
91,1,Bit 1: substructure detected but no common functional groups matched
92,1,Bit 1: no substructure found
93,1,Bit 1: no substructure found
94,1,Bit 1: substructure detected but no common functional groups matched
95,1,Bit 1: no substructure found
96,1,Bit 1: no substructure found
97,1,Bit 1: no substructure found
98,1,Bit 1: no substructure found
99,1,Bit 1: no substructure found
100,1,Bit 1: substructure detected but no common functional groups matched
101,1,Bit 1: no substructure found
102,1,Bit 1: no substructure found
103,1,Bit 1: substructure detected but no common functional groups matched
104,1,Bit 1: substructure detected but no common functional groups matched
105,1,Bit 1: no substructure found
106,1,Bit 1: substructure detected but no common functional groups matched
107,1,Bit 1: substructure detected but no common functional groups matched
108,1,Bit 1: substructure detected but no common functional groups matched
109,1,Bit 1: substructure detected but no common functional groups matched
110,1,Bit 1: substructure detected but no common functional groups matched
111,1,Bit 1: no substructure found
112,1,Bit 1: no substructure found
113,1,Bit 1: substructure detected but no common functional groups matched
114,1,Bit 1: no substructure found
115,1,Bit 1: no substructure found
116,1,Bit 1: no substructure found
117,1,Bit 1: no substructure found
118,1,Bit 1: no substructure found
119,1,Bit 1: no substructure found
120,1,Bit 1: no substructure found
121,1,Bit 1: no substructure found
122,1,Bit 1: no substructure found
123,1,Bit 1: no substructure found
124,1,Bit 1: no substructure found
125,1,Bit 1: no substructure found
126,1,Bit 1: substructure detected but no common functional groups matched
127,1,Bit 1: substructure detected but no common functional groups matched
128,1,Bit 1: no substructure found
129,1,Bit 1: no substructure found
130,1,Bit 1: no substructure found
131,1,Bit 1: substructure detected but no common functional groups matched
132,1,Bit 1: no substructure found
133,1,Bit 1: no substructure found
134,1,Bit 1: no substructure found
135,1,Bit 1: no substructure found
136,1,Bit 1: no substructure found
137,1,Bit 1: no substructure found
138,1,Bit 1: no substructure found
139,1,Bit 1: substructure detected but no common functional groups matched
140,1,Bit 1: no substructure found
141,1,Bit 1: no substructure found
142,1,Bit 1: no substructure found
143,1,Bit 1: no substructure found
144,1,Bit 1: no substructure found
145,1,Bit 1: no substructure found
146,1,Bit 1: substructure detected but no common functional groups matched
147,1,Bit 1: no substructure found
148,1,Bit 1: substructure detected but no common functional groups matched
